team,elo_rating
Spain,2234.8347661736943
Argentina,2203.3690438316758
France,2148.3782101755855
England,2102.8626173367834
Brazil,2094.8453419139278
Colombia,2076.1009010149746
Portugal,2071.4073080330927
Ecuador,2051.3878193332807
Germany,2033.6178377954905
Netherlands,2024.3551997450716
Norway,2018.4715797534377
Japan,2017.2106321822948
Morocco,2012.074700059752
Turkey,2011.5268919345515
Belgium,1996.2822880697724
Croatia,1986.0501652917794
Switzerland,1984.5642234921454
Uruguay,1974.378600168523
Mexico,1973.1632986102848
Denmark,1955.1770829539228
Italy,1953.1485942241484
Paraguay,1942.3646109678903
Senegal,1926.7637470728364
Algeria,1924.506294503972
Austria,1923.208083254524
Canada,1915.2318362008325
Iran,1907.4258244740577
Australia,1897.0677783922222
Yugoslavia,1889.5372093297103
Nigeria,1886.51195276513
South Korea,1885.0471412160448
Basque Country,1869.1338683501822
Scotland,1868.6515534590174
Ukraine,1868.453373266781
Russia,1858.1092269401638
Ivory Coast,1854.0826941300736
Chile,1837.052346166317
Czech Republic,1835.7107154102114
Egypt,1832.4454850522134
United States,1829.1147030457294
Czechoslovakia,1827.8370211575154
Venezuela,1826.3607095823097
Panama,1821.0187660539937
Kosovo,1820.752500664282
Uzbekistan,1818.297370479361
Greece,1816.112362852214
Serbia,1799.7942573380267
Jersey,1799.7421575928518
Sweden,1798.7203341064176
Republic of Ireland,1793.262487090532
Poland,1786.7488422087863
German DR,1783.1846134944647
Hungary,1780.9914049757265
DR Congo,1780.9781955424937
Peru,1769.268495733368
Jordan,1763.3163046602324
Slovenia,1755.8030389437522
Tunisia,1750.235368296722
Slovakia,1743.5763455745557
Iraq,1741.834209241314
Wales,1740.058510814177
Guernsey,1738.2338958725315
Israel,1738.1582689494917
Catalonia,1734.3517346840233
Georgia,1727.5417890334506
Cameroon,1722.329259976816
Mali,1719.690796572097
Occitania,1719.442460553876
Bolivia,1714.0111104116586
Isle of Man,1709.8291204936927
Costa Rica,1709.8057317837922
Romania,1705.4091019760085
Haiti,1705.1045915325897
Northern Ireland,1699.2705494828974
New Zealand,1696.7790346581958
Saudi Arabia,1692.9392752431745
Northern Cyprus,1686.978565349443
Padania,1685.5172908314548
Albania,1683.870108306467
Honduras,1678.3140943604747
Bosnia and Herzegovina,1676.1486517046274
United Arab Emirates,1669.8509135411862
Burkina Faso,1662.746748826841
North Macedonia,1662.3481583112682
Cape Verde,1662.1969535758058
Isle of Wight,1659.0297343516859
South Africa,1658.4405582445193
Iceland,1657.1129261656815
Iraqi Kurdistan,1651.5381376080081
Jamaica,1646.3312441786056
Ynys Môn,1644.1259734695116
Andalusia,1640.7253762997564
Kernow,1635.7598391769975
Abkhazia,1629.3285796441685
Ghana,1628.9346911857065
Belarus,1627.9428853930754
Guatemala,1619.551218483725
Kárpátalja,1610.971758402286
Curaçao,1603.5166073034384
Finland,1598.1007147357525
County of Nice,1596.787589016793
Panjab,1595.4073839260561
Angola,1594.4082996460033
Rhodes,1592.0002096718388
Suriname,1586.6971565561887
Tamil Eelam,1585.4235357737703
Palestine,1584.01597114379
Guinea,1580.1862306160544
Syria,1579.8427236393734
Corsica,1579.154937419176
Réunion,1578.426219524878
Ellan Vannin,1577.342191026509
Yorkshire,1576.4841131055828
New Caledonia,1571.322507562066
Kurdistan,1570.935902288349
Artsakh,1564.4067971547204
Menorca,1562.389683948764
Oman,1558.7732231283467
Chameria,1555.539618261043
Cascadia,1551.4152190205198
Gambia,1549.765883017391
Arameans Suryoye,1549.4665454698986
Libya,1548.8256485503211
China,1546.6205397331923
Zambia,1545.2942957359737
Quebec,1544.1787043726713
Bulgaria,1538.8019965423955
Qatar,1538.7746717906725
Zanzibar,1537.4463780115702
Galicia,1536.6301603372938
Montenegro,1534.6869950637968
Asturias,1534.0193845423105
Madagascar,1533.0652727836211
Benin,1531.9805132945285
Maule Sur,1530.1158521535626
Canary Islands,1529.7555605253588
Gabon,1525.3827677206573
Surrey,1525.1385333409212
Donetsk PR,1520.4459255969587
Thailand,1519.3211636896335
Trinidad and Tobago,1519.2968810247821
Kazakhstan,1519.2794566105565
Elba Island,1519.086188389941
Western Armenia,1518.7589972461553
Parishes of Jersey,1518.570003196671
Indonesia,1517.842291999454
Uganda,1515.8494806909243
Biafra,1515.665300570386
Niger,1515.224318788487
Togo,1512.1970942460323
Silesia,1511.2926651321388
Bahrain,1510.2811722165998
United Koreans in Japan,1510.2469244990875
Mapuche,1509.104460190283
Felvidék,1507.8820590030577
Sealand,1507.6807529945067
Guadeloupe,1507.152812143072
Comoros,1506.8518087639166
Brittany,1505.095985448531
Crimea,1501.362574650362
Shetland,1500.918779874788
Délvidék,1499.8273962269398
Central Spain,1493.1352754959328
Malaysia,1491.5052719019168
Nicaragua,1491.2354613928114
Saugeais,1491.0059206577296
North Korea,1488.8030008326216
Sápmi,1488.4312064263106
Mozambique,1487.2909865881413
Cilento,1485.975034088885
Faroe Islands,1485.8818911144313
Madrid,1485.1912982096892
Székely Land,1483.8699783295795
North Vietnam,1483.844770568587
Luhansk PR,1482.8015247249716
Yoruba Nation,1482.2928915244627
El Salvador,1482.0980169420995
Matabeleland,1480.8904765585244
Luxembourg,1480.544138956089
Franconia,1480.108559514197
Gozo,1478.9643308862426
Seborga,1478.9571795953486
Republic of St. Pauli,1478.2108426601947
Zimbabwe,1476.9201812520444
Sudan,1476.0274940995632
South Ossetia,1473.8118945590802
Tahiti,1473.5915514095593
Guyana,1473.4236418694027
Martinique,1472.2585119791713
Somaliland,1471.1080729284158
East Turkestan,1468.6253721712767
Kenya,1467.9255850435986
Kuwait,1467.6891360794311
Mauritania,1466.5749242637194
South Yemen,1465.4443801054008
Provence,1464.6125536651589
Åland Islands,1463.6407885340257
Sierra Leone,1461.258494602805
Aymara,1460.7796876561545
Ryūkyū,1459.0567998417991
West Papua,1458.1799125422895
Hmong,1456.4861659805993
Romani people,1455.840944936487
Dominican Republic,1454.7239774731395
Kabylia,1453.067340007784
Kyrgyzstan,1450.95154175147
Vietnam,1449.96279173584
Rwanda,1446.9222373627995
Estonia,1445.375733520083
Mayotte,1444.6129222272639
Greenland,1444.0062306450623
Monaco,1443.7621979367257
Lebanon,1440.152312373685
Liberia,1437.4776664098183
Gotland,1434.7211206823683
Malawi,1434.2182914814955
Western Isles,1430.2850283906064
Saarland,1428.7364892254293
Equatorial Guinea,1428.379857257664
French Guiana,1427.9521299784026
Armenia,1427.4844059048578
Chechnya,1424.589502166149
Găgăuzia,1422.7775335562305
Tajikistan,1421.5710961527527
Lesotho,1420.3065782393505
Niue,1420.2659156001073
Two Sicilies,1413.0104145391895
Marshall Islands,1411.6513558169042
Namibia,1410.6696571668062
Papua New Guinea,1410.1581986492056
Ticino,1409.2593936243984
Tanzania,1406.8724345777189
Vanuatu,1404.701134536869
Cuba,1402.1232743520663
Manchukuo,1401.2607535638267
Western Sahara,1392.2533260932769
Orkney,1392.214428570109
Malta,1390.0043732174233
Ethiopia,1389.1643615743606
Cyprus,1388.952663572435
Botswana,1388.5582761126318
Azerbaijan,1386.39570532751
Western Australia,1386.1745326238167
Turkmenistan,1382.642578977955
Burundi,1381.9204982246822
Ambazonia,1379.8084836128367
Raetia,1378.88281728056
Fiji,1375.6361389443543
Palau,1372.8407301553073
Saint Barthélemy,1371.9215468657467
Vatican City,1361.593030344475
Lithuania,1357.1945937145626
Central African Republic,1353.0044577757553
Saint Vincent and the Grenadines,1350.8280439772
Latvia,1346.5087503305353
Barawa,1342.7448046564634
Guinea-Bissau,1342.4989005349519
Puerto Rico,1341.6906900024228
Bermuda,1340.9265946664505
Yemen DPR,1340.0508116020856
Saare County,1335.3247072584447
Hitra,1335.1105679299012
Saint Helena,1333.666682427062
Moldova,1333.2154309462212
Chagos Islands,1332.7111625341538
Solomon Islands,1329.1433062951862
Philippines,1327.5332919359519
Vietnam Republic,1325.3711230913364
Sark,1317.5532533612413
Eswatini,1311.7097348992634
Congo,1308.0928898578832
Micronesia,1304.2223399142672
Yemen,1290.8338499555011
Saint Martin,1287.979676562293
Sint Maarten,1281.964292638097
Wallis Islands and Futuna,1281.1217227612783
Grenada,1276.1606011896445
Singapore,1276.0653304326904
South Sudan,1272.348054534888
Belize,1270.615777582237
Saint Pierre and Miquelon,1268.436249851982
Hong Kong,1267.7585852395998
Darfur,1262.9272044488869
Saint Kitts and Nevis,1253.2668029560045
Tibet,1246.8240896926395
Chad,1231.9055192562423
Montserrat,1226.1043398741547
Kiribati,1210.0789850340732
Samoa,1208.0391842403062
India,1207.6906236514676
Aruba,1207.393167335458
Saint Lucia,1203.8322535846876
Falkland Islands,1201.0182948876216
Mauritius,1195.032518689445
Tuvalu,1190.0611287405668
Frøya,1178.3250109959267
Eritrea,1171.1228836760317
São Tomé and Príncipe,1164.4039591769363
Dominica,1158.1930981288053
Andorra,1157.3024249704513
Gibraltar,1151.6101744717816
Afghanistan,1127.140914136087
Bangladesh,1120.317076134616
Barbados,1114.3674423117382
Myanmar,1112.7948821466991
Antigua and Barbuda,1111.1511713220843
Bonaire,1109.7594951284925
Cook Islands,1100.7589083535033
Pakistan,1093.0504695955597
Nepal,1090.9065249367138
Alderney,1068.96903912879
Djibouti,1067.1552513111558
Cambodia,1062.330473295948
Somalia,1056.784335803168
Tonga,1046.4340158062512
British Virgin Islands,1040.4318228925003
Taiwan,1039.7757002985115
Cayman Islands,1022.6685984887403
Sri Lanka,1001.4351811619207
Seychelles,989.8792812372841
Turks and Caicos Islands,989.2269191229278
United States Virgin Islands,978.7459988733594
Maldives,961.7725468664886
Liechtenstein,960.4829289486433
Mongolia,954.943258265596
Guam,940.328886075279
Bahamas,939.7402990550127
Northern Mariana Islands,937.5347309885937
San Marino,908.0757381323489
American Samoa,906.608026631992
Laos,904.7368409369793
Anguilla,898.655870353027
Timor-Leste,882.7107988112012
Brunei,875.229512869168
Bhutan,837.4356026283889
Macau,790.9353550086771
